,Songs,Listeners,Playcount,Duration,Tags
53,Don't Say a Word,89457,837470,253000,"[u'Power metal', u'metal', u'melodic metal', u'symphonic metal', u'finnish', u'heavy metal', u'Sonata Arctica', u'Melodic Power Metal', u'finnish metal', u'speed metal', u'seen live', u'Progressive metal', u'epic', u'FUCKING AWESOME', u'finland', u'melodic', u'Gothic Metal', u'Suomi', u'epic metal', u'alternative rock', u'heavy', u'hard rock', u'favorites', u'favourite', u'male vocalist', u'great lyrics', u'Favorite', u'Favourites', u'melodic hard rock', u'battle metal', u'Play this loud enough to raise the dead', u'tony kakko', u'Dont Say a Word', u'appeals to my inner stalker']"
54,We Drink Your Blood,39616,329242,348000,"[u'Power metal', u'heavy metal', u'metal', u'melodic metal', u'vampire metal', u'seen live', u'Awesome', u'male vocalist', u'2012', u'blood', u'Glam Metal', u'true metal', u'opera metal', u'awsome', u'z lastfm', u'iMusic', u'pling pling xD', u'2012mytest', u'Bouncy energetic motif', u'We Drink Your Blood']"
55,Panzerkampf,89845,805683,327000,"[u'Power metal', u'war metal', u'heavy metal', u'metal', u'swedish', u'Sabaton', u'battle metal', u'epic metal', u'Swedish Metal', u'war', u'best of 2008', u'battle', u'mother russia', u'glorious', u'male vocalists', u'Russia', u'WWII', u'Epic Power Metal', u'Beef Metal', u'I could listen to this song forever', u'seen live', u'rock', u'catchy', u'Awesome', u'speed metal', u'Energetic', u'drumming', u'male vocalist', u'4', u'brilliant', u'historical', u'FUCKING AWESOME', u'Masterpiece', u'6 of 10 stars', u'Powermetal', u'WW2', u'fucking brilliant', u'Push', u'pierdolniecie', u'awesome drumming', u'swedish power metal', u'fuckin good', u'cool drumming', u'hu', u'lauluja panssari vaunu hommista', u'battle power metal', u'best metal male voices', u'gnirzheavy', u'song about Russia', u'The battle of Kursk']"
56,Todd's Song - post-Spiderland song in progress,881,1410,0,[]
57,nosferatu man - remastered,3414,6625,0,[]
58,"good morning, captain - remastered",3225,6732,0,[]
59,"good morning, captain - remastered",3225,6732,0,[]
60,for dinner... (remastered),2030,4939,0,[]
61,Cortez The Killer - live Chicago 1989,931,1472,0,[]
62,Boots,21292,54533,90000,"[u'Avant-Garde', u'experimental', u'weird', u'The Residents', u'alternative', u'cover', u'avant garde', u'surreal', u'avantgarde', u'comedy', u'parody', u'different', u'creepy', u'transport', u'unsettling', u'Magic Beefheart', u'james call', u'exerimental', u'missing teens', u'adam beebe', u'pope john paul the third', u'hats and clothes', u'whiffer unbound']"
63,Mouth Breather,58041,229082,137000,"[u'noise rock', u'noise', u'punk', u'alternative rock', u'rock', u'90s', u'Pitchfork 500', u'Consistent Dodo Radio - Flittering', u'alternative', u'the pitchfork 500', u'engineered by steve albini', u'similar to: minutemen', u'similar to: mission of burma', u'hardcore', u'experimental', u'indie rock', u'hard rock', u'favorites', u'Lo-Fi', u'idm', u'normal', u'garage', u'great lyrics', u'chicago', u'4', u'post-hardcore', u'post hardcore', u'friendsofthekingofrummelpop', u'bbc', u'guns', u'everything', u'heavy bottom end', u'Big dance thumps', u'not grunge', u'noiserock', u'my favorite', u'great bassline', u'fuzzy guitar goodness', u'Jesus Lizard', u'the jesus lizard', u'asparagus favorite fried delight', u'recos', u'Pre-and-Post Punk', u'ferocious', u'rock top', u'superb song to drive to', u'i love singing along', u'rock fury', u'BBC Radio 1', u'real post-hardcore']"
64,Untitled,321,892,413000,[]
65,nosferatu man - remastered,3414,6625,0,[]
66,Nosferatu Man - Evanston riff tape,466,649,0,[]
67,Pam - Evanston riff tape,523,714,0,[]
68,Fade to Black,54174,343315,343000,"[u'Power metal', u'cover', u'metal', u'melodic metal', u'Sonata Arctica', u'metallica cover', u'covers', u'finnish', u'cover songs', u'Fade to Black', u'seen live', u'Progressive metal', u'metallica', u'cover of Metallica', u'covers better than the originals', u'Takatalvi', u'sad', u'albums I own', u'speed metal', u'thrash metal', u'amazing', u'Gothic Metal', u'favourite', u'depressing', u'Ballad', u'great solo', u'FUCKING AWESOME', u'45', u'Bay Area', u'suomirock', u'special', u'Distinctive', u'interesting cover', u'awesome cover', u'mood: gloomy', u'Favs Of Nocci', u'Best cover ever', u'Great Metal Covers', u'cover on metallica', u'a tribute to the four horsemen']"
69,The Power Of One,78771,530863,697000,"[u'Power metal', u'melodic metal', u'metal', u'symphonic metal', u'Sonata Arctica', u'Progressive metal', u'finnish', u'finnish metal', u'epic', u'speed metal', u'beautiful', u'epic metal', u'heavy metal', u'Ballad', u'symphonic', u'Awesome Songs That Are Over 7 Minutes Long', u'seen live', u'great lyrics', u'melodic speed metal', u'Masterpiece', u'10 of 10 stars', u'power ballads', u'silence', u'Melodic Power Metal', u'sonata', u'tony kakko', u'longer than 10 minutes', u'soundtrack to my escape', u'To hear over and over', u'the power of one', u'favorites', u'power', u'Power ballad', u'Awesome', u'melodic', u'genius', u'favourite', u'live', u'brilliant', u'Great Lyricists', u'fantasy metal', u'FUCKING AWESOME', u'Favourite Songs', u'finland', u'Incredible', u'over ten minutes', u'Powermetal', u'suomirock', u'finnish rock', u'opera metal']"
70,Letter to Dana,122126,973116,360000,"[u'Power metal', u'melodic metal', u'metal', u'symphonic metal', u'finnish', u'Sonata Arctica', u'Ballad', u'Melodic Power Metal', u'metal ballad', u'heavy metal', u'rock', u'Power ballad', u'beautiful', u'finnish metal', u'epic', u'seen live', u'sad', u'Love', u'Progressive metal', u'Awesome', u'melodic', u'symphonic power metal', u'rock ballads', u'metal ballads', u'favorites', u'favourite', u'rock ballad', u'ballads', u'finland', u'Powermetal', u'hard rock', u'love song', u'sonata', u'sonata artica', u'dana', u'Letter to Dana', u'Sonata arctica - letter to dana', u'pop', u'power', u'scandinavian', u'speed metal', u'Gothic Metal', u'melancholic', u'male vocalists', u'relax', u'epic metal', u'Masterpiece', u'Favourite Songs', u'power ballads', u'Ecliptica']"
71,FullMoon,158774,1526502,308000,"[u'Power metal', u'metal', u'melodic metal', u'symphonic metal', u'finnish', u'Sonata Arctica', u'Melodic Power Metal', u'finnish metal', u'heavy metal', u'symphonic power metal', u'speed metal', u'Progressive metal', u'seen live', u'favorites', u'melodic', u'Fullmoon', u'Awesome', u'Sonata Arctica - Fullmoon', u'scandinavian', u'Gothic Metal', u'finland', u'rock', u'Suomi', u'sonata', u'hard rock', u'piano', u'symphonic', u'Favorite', u'fantasy', u'werewolf', u'scandinavian metal', u'sad', u'epic', u'amazing', u'loved', u'good', u'Favourites', u'epic metal', u'FUCKING AWESOME', u'talvi', u'metal ballad', u'Finnish power metal']"
72,Shy,91125,976234,256000,"[u'Power metal', u'melodic metal', u'Ballad', u'symphonic metal', u'Sonata Arctica', u'finnish', u'metal', u'finnish metal', u'sad', u'Melodic Power Metal', u'beautiful', u'emotional', u'melodic', u'Progressive metal', u'Love', u'acoustic', u'ballads', u'brings tears to my eyes', u'heavy metal', u'seen live', u'melancholy', u'relax', u'symphonic power metal', u'shy', u'metal ballads', u'tony kakko', u'heavy ballad', u'pop', u'rock', u'Awesome', u'favourite', u'melancholic', u'love songs', u'great lyrics', u'Suomi', u'Favourite Songs', u'songs that make me cry', u'finland', u'songs I fucking love to death', u'lovely stuff', u'songs to hear before you die', u'Sonata Arctica - Shy', u'Makes me dream', u'everything reminds me of you', u'Beautiful lovely songs', u'songs that someone will sing to me someday', u'melodic heavy metal', u'chillout', u'electronic', u'instrumental']"
73,Replica,158890,1521512,295000,"[u'Power metal', u'melodic metal', u'metal', u'Sonata Arctica', u'finnish', u'symphonic metal', u'Ballad', u'finnish metal', u'Melodic Power Metal', u'Progressive metal', u'favorites', u'rock', u'heavy metal', u'melancholic', u'seen live', u'power', u'metal ballad', u'replica', u'Power ballad', u'Gothic Metal', u'live', u'Awesome', u'melodic', u'epic metal', u'symphonic power metal', u'finland', u'beautiful', u'speed metal', u'melancholy', u'Favourites', u'Favourite Songs', u'metal ballads', u'Ecliptica', u'SONATA ARCTICA - REPLICA']"
74,Still Loving You,68447,508318,273000,"[u'Power metal', u'cover', u'melodic metal', u'finnish', u'metal', u'Sonata Arctica', u'symphonic metal', u'scorpions', u'rock', u'finnish metal', u'Melodic Power Metal', u'covers', u'Scorpions cover', u'Ballad', u'seen live', u'hard rock', u'Great Covers', u'cover songs', u'sonata', u'heavy metal', u'Progressive metal', u'Love', u'romantic', u'beautiful', u'speed metal', u'Energetic', u'great', u'male vocalist', u'7 of 10 stars', u'finland', u'metal cover', u'covers better than the originals', u'still loving you', u'heavy', u'female vocalists', u'albums I own', u'favorites', u'depressed', u'Soundtracks', u'Gothic Metal', u'Uplifting', u'male vocalists', u'great lyrics', u'Suomi', u'melodic speed metal', u'rock ballad', u'crying', u'cover version', u'10 of 10 stars', u'makes me happy']"
75,Paid in Full,98992,952278,264000,"[u'Power metal', u'melodic metal', u'symphonic metal', u'metal', u'Sonata Arctica', u'finnish', u'Progressive metal', u'Melodic Power Metal', u'finnish metal', u'seen live', u'heavy metal', u'melodic', u'Awesome', u'piano metal', u'tony kakko', u'finland', u'Unia', u'Favourite song', u'rock', u'memories', u'Gothic Metal', u'i am a party girl here is my soundtrack', u'single', u'powerful', u'Mood: Sad', u'emotional connection', u'Soundtrack', u'best of 2006', u'hard rock', u'singer-songwriter', u'Progressive rock', u'favorites', u'power', u'Love', u'piano', u'epic', u'romantic', u'winter', u'great', u'Artists I own stuff by', u'favourite', u'emotional', u'majestic', u'great lyrics', u'Ballad', u'brilliant', u'great solo', u'i love this fucking song', u'Great Lyricists', u'autumn']"
76,Secret Garden,7308,36661,243000,"[u'Progressive metal', u'Power metal', u'Gothic Metal', u'Ballad', u'symphonic metal', u'progressive power metal', u'brazilian metal', u'simone simons', u'Angra', u'Gotic Metal', u'Simone Simons on vocals']"
77,Black Hearted Soul,8162,46211,288000,"[u'Progressive metal', u'Power metal', u'melodic metal', u'speed metal', u'symphonic metal', u'progressive power metal', u'brazilian metal', u'Angra']"
78,Illusion,864,3118,0,[]
